testscr,str,el_pct,income,income2
660.95,20.44836,3.121039,16.98663,288.5455988
661.35,20.37169,47.36842,9.612,92.390544
661.45,20.16479,22.70968,21.1105,445.6532103
661.6,21.61538,29.12074,16.47331,271.3699424
661.6,20.56143,4.432624,18.369,337.420161
661.85,19.95551,4.814217,16.65411,277.3593799
661.85,21.18387,5.249205,18.54422,343.8880954
661.85,18.81042,1.899441,14.18,201.0724
661.9,20.57838,8.662933,18.02955,325.0646732
661.9,18.32461,10.47619,13.586,184.579396
661.95,18.82063,1.242236,12.64,159.7696
662.4,20.81633,0,11.103,123.276609
662.4,20,9.375,7.5,56.25
662.45,19.68182,1.385681,15.506,240.436036
662.5,19.39018,35.34212,22.8414,521.729554
662.55,20.92732,9.640718,19.82313,392.956483
662.55,19.94437,2.23152,16.347,267.224409
662.65,20.79109,0.3664036,16.293,265.461849
662.7,19.20354,0.5760369,13.248,175.509504
662.75,19.02439,0,14.01,196.2801
662.9,17.62058,0.8515815,14.163,200.590569
663.35,20.23715,5.524554,15.771,248.724441
663.45,19.29374,0,14.48333,209.7668479
663.5,18.82998,0,14.209,201.895681
663.85,20.33949,2.437223,15.167,230.037889
663.85,19.229,20.76677,12.58425,158.3633481
663.9,17.8913,2.18712,10.551,111.323601
664,19.51881,13.62618,16.956,287.505936
664,19.08451,13.28413,17.709,313.608681
664.15,19.93548,1.941748,16.272,264.777984
664.15,18.87326,23.06157,17.9008,320.4386406
664.3,20.14178,0.621118,11.834,140.043556
664.4,23.55637,3.255512,18.6202,346.711848
664.45,21.46479,0,12.431,154.529761
664.7,19.19101,2.224824,15.167,230.037889
664.75,20.1308,18.55838,20.87575,435.7969381
664.95,25.8,6.20155,10.639,113.188321
664.95,18.77774,18.45748,25.02962,626.4818773
665.1,19.10982,32.07255,16.7578,280.8238608
665.2,19.70109,3.965517,15.297,233.998209
665.35,18.61594,15.33671,17.36945,301.6977933
665.65,20.99721,27.66523,22.096,488.233216
665.9,20,12.53731,22.842,521.756964
665.95,20.98325,12.68017,18.31988,335.6180032
666,21.64262,6.908044,25.03,626.5009
666.05,20.02967,14.96296,21.957,482.109849
666.1,19.8114,11.26933,18.79683,353.320818
666.15,18,9.722222,10.639,113.188321
666.15,19.35811,3.315881,17.508,306.530064
666.45,20.17912,0.6934813,18.593,345.699649
666.55,21.11986,5.141129,11.116,123.565456
666.6,23.38974,4.969165,14.09767,198.7442994
666.65,22.18182,6.967213,12.64,159.7696
666.65,19.94283,7.996065,20.93643,438.3341011
666.7,17.78826,0.4819277,14.18,201.0724
666.85,14.70588,2.5,11.826,139.854276
666.85,19.04077,3.84131,18.671,348.606241
667.15,20.89195,1.320423,17.332,300.398224
667.2,19.83851,4.912281,17.508,306.530064
667.45,19.52191,0,15.572,242.487184
667.45,20.68622,0.222387,15.56725,242.3392726
667.6,18.18182,0,15.752,248.125504
668,18.89224,17.85406,20.47,419.0209
668.1,24.88889,4.464286,9.709,94.264681
668.4,18.58064,9.548612,11.116,123.565456
668.6,18.04,3.991131,16.321,266.375041
668.65,17.73399,20.66667,21.967,482.549089
668.8,21.45455,7.627119,8.934,79.816356
668.9,19.92343,27.45367,19.997,399.880009
668.95,20.33942,10.85763,18.82723,354.4645895
669.1,22.54608,5.025734,18.11867,328.2862026
669.3,21.10344,14.23617,23.66738,560.1448761
669.3,18.19743,0.2358491,22.139,490.135321
669.35,20.10768,2.070689,20.546,422.138116
669.35,19.15984,8.556149,9.485,89.965225
669.8,19.54545,0,11.834,140.043556
669.85,20.88889,4.787234,18.799,353.402401
669.95,18.3915,3.960396,10.551,111.323601
670,19.1799,1.579353,15.519,240.839361
670.7,19.39771,3.593909,21.63173,467.9317428
671.25,21.67827,8.726227,21.09575,445.0306681
671.3,19.28889,0,15.167,230.037889
671.6,20.34927,0.2640613,19.117,365.459689
671.6,20.96416,1.447922,17.62,310.4644
671.65,19.46039,0.1474926,15.167,230.037889
671.7,19.28572,0,10.643,113.273449
671.75,20.91979,3.705006,20.73906,430.1086097
671.9,20.90021,0.2685285,21.566,465.092356
671.9,20.59575,0,17.656,311.734336
671.95,19.375,4.516129,17.709,313.608681
672.05,19.95122,2.444795,27.816,773.729856
672.05,18.84973,0,18.593,345.699649
672.3,18.11787,0,14.263,203.433169
672.35,19.18341,5.405406,22.758,517.926564
672.45,22,0,12.64,159.7696
672.55,21.58416,6.422018,11.238,126.292644
672.7,20.38889,6.539509,16.956,287.505936
673.05,16.2931,14.28572,17.709,313.608681
673.25,18.27778,3.678797,25.622,656.486884
673.3,19.37472,0.5021761,18.726,350.663076
673.55,18.90909,0,13.443,180.714249
673.55,16.40693,22.69129,15.18,230.4324
673.9,15.5914,0,19.117,365.459689
674.25,18.70694,0.1416431,13.712,188.018944
675.4,18.32985,2.733485,17.508,306.530064
675.7,17.90235,1.683502,11.834,140.043556
676.15,18.91157,0,13.273,176.172529
676.55,20.32497,0.1436094,16.356,267.518736
676.6,20.02457,0,18.626,346.927876
676.85,24,11.04651,23.733,563.255289
676.95,17.60784,0,12.934,167.288356
677.25,19.34853,0,13.906,193.376836
677.95,19.67846,0.0633312,15.428,238.023184
678.05,18.72861,0,15.381,236.575161
678.4,15.88235,0,22.529,507.555841
678.8,20.05491,15.0599,23.8061,566.7303972
679.4,17.98825,1.479592,24.603,605.307609
679.5,16.96629,2.649007,36.174,1308.558276
679.65,19.23937,1.479915,33.455,1119.237025
679.75,19.19586,4.469893,20.48022,419.4394112
679.8,19.59906,0.3264418,20.134,405.377956
680.05,20.54348,2.539683,19.3465,374.2870623
680.45,18.58848,0.5420054,36.174,1308.558276
681.3,15.60419,11.58537,22.86333,522.7318587
681.3,15.29304,11.37724,17.709,313.608681
681.6,17.65537,0,14.177,200.987329
681.9,17.57976,1.374885,41.093,1688.634649
682.15,22.33333,2.238806,21.957,482.109849
682.45,18.75,5.333333,16.064,258.052096
682.55,18.10241,2.773156,25.737,662.393169
682.65,20.25641,0,20.474,419.184676
683.35,18.80207,17.72575,35.81,1282.3561
683.4,18.7723,0,13.567,184.063489
684.3,20.40521,0,20.089,403.567921
684.35,18.65079,0.4255319,18.283,334.268089
684.8,20.70707,6.067073,25.23972,637.0434657
684.95,22,10.12759,25.063,628.153969
686.05,17.69978,3.375527,30.6285,938.1050123
686.7,21.48329,8.648542,27.47522,754.887714
687.55,16.70103,12.34568,30.84,951.1056
689.1,19.57567,1.589595,34.1595,1166.87144
691.05,17.25806,1.495327,43.23,1868.8329
691.35,17.37526,10.38552,27.94775,781.0767301
691.9,17.34931,6.13402,49.939,2493.903721
693.95,16.26229,2.266289,55.328,3061.187584
694.25,17.70045,2.478632,35.481,1258.901361
694.8,20.12881,0.8936293,34.301,1176.558601
695.2,18.26539,2.421652,38.62857,1492.16642
695.3,14.54214,3.76569,35.342,1249.056964
696.55,19.15261,1.962865,31.052,964.226704
698.2,17.36574,0.5780346,40.264,1621.189696
698.25,15.13898,2.807284,35.81,1282.3561
698.45,17.84266,1.363636,43.23,1868.8329
699.1,15.40704,1.164483,50.677,2568.158329
700.3,18.86534,2.050406,40.402,1632.321604
704.3,16.47413,5.995935,28.717,824.666089
706.75,17.86263,4.726101,41.73411,1741.735937
645,21.88586,24.26304,23.733,563.255289
672.2,20.2,2.970297,9.952,99.042304
655.75,19.0364,5.005624,12.502,156.300004
