year,female,earnings,male
1992,1,8.182222,0
1992,1,14.52245,0
1992,0,24.0179,1
1992,0,13.97507,1
1992,0,22.90079,1
1992,1,13.9639,0
1992,0,25.13501,1
1992,0,15.63956,1
1992,0,22.34224,1
1992,0,8.657616,1
1992,0,24.20409,1
1992,1,25.81769,0
1992,0,9.294369,1
1992,1,14.74587,0
1992,1,10.054,0
1992,0,16.93094,1
1992,0,18.03079,1
1992,0,18.68623,1
1992,0,19.85976,1
1992,1,13.90804,0
1992,0,17.31523,1
1992,1,18.43234,0
1992,0,11.61796,1
1992,0,21.22512,1
1992,1,8.132573,0
1992,1,13.9639,0
1992,1,13.40534,0
1992,0,19.54946,1
1992,0,14.74476,1
1992,0,11.17112,1
1992,0,12.12864,1
1992,0,8.068029,1
1992,0,19.73564,1
1992,0,28.22177,1
1992,1,13.68462,0
1992,1,13.74047,0
1992,0,20.42719,1
1992,0,17.87379,1
1992,0,15.95874,1
1992,0,12.51165,1
1992,0,15.08101,1
1992,0,11.49029,1
1992,0,28.43557,1
1992,0,9.495449,1
1992,0,15.63956,1
1992,0,10.99925,1
1992,1,15.5876,0
1992,1,19.43774,0
1992,0,16.3843,1
1992,0,24.57646,1
1992,1,13.9639,0
1992,1,11.17112,0
1992,0,18.43234,1
1992,0,33.51335,1
1992,0,18.9909,1
1992,0,25.59201,1
1992,1,11.17112,0
1992,0,17.31523,1
1992,0,17.31523,1
1992,1,14.52245,0
1992,1,15.23334,0
1992,0,27.92779,1
1992,0,31.18604,1
1992,1,13.9639,0
1992,0,13.77771,1
1992,1,12.03043,0
1992,1,8.936893,0
1992,1,24.69405,0
1992,1,16.75668,0
1992,1,15.08101,0
1992,1,24.0179,0
1992,1,14.64873,0
1992,0,22.34224,1
1992,0,22.34224,1
1992,1,16.75668,0
1992,0,19.54946,1
1992,1,16.59709,0
1992,0,25.69357,1
1992,0,12.28823,1
1992,0,22.34224,1
1992,1,26.25212,0
1992,1,21.22512,0
1992,0,35.02296,1
1992,1,14.36286,0
1992,1,13.40534,0
1992,1,24.28973,0
1992,0,22.78908,1
1992,1,6.144114,0
1992,1,15.95874,0
1992,1,11.17112,0
1992,1,11.17112,0
1992,1,21.22512,0
1992,1,22.34224,0
1992,1,12.84678,0
1992,0,15.08101,1
1992,1,20.42719,0
1992,0,17.42694,1
1992,1,15.95874,0
1992,1,11.61796,0
1992,1,17.23544,0
1992,0,15.08101,1
1992,0,14.04369,1
1992,1,26.81068,0
1992,1,17.78442,0
1992,1,12.61255,0
1992,0,19.54946,1
1992,1,23.45935,0
1992,0,16.75668,1
1992,1,17.87379,0
1992,0,6.051022,1
1992,1,29.39768,0
1992,1,16.75668,0
1992,1,15.68425,0
1992,1,28.59806,0
1992,1,32.23665,0
1992,0,38.54035,1
1992,1,2.90449,0
1992,0,33.51335,1
1992,1,21.51474,0
1992,0,15.9747,1
1992,0,16.53325,1
1992,0,15.9747,1
1992,1,11.17112,0
1992,1,29.0449,0
1992,1,22.34224,0
1992,0,14.52245,1
1992,0,8.713471,1
1992,0,14.62401,1
1992,1,19.9165,0
1992,0,17.31523,1
1992,1,15.9747,0
1992,0,10.42638,1
1992,0,20.78347,1
1992,1,19.54946,0
1992,1,12.56751,0
1992,1,33.51335,0
1992,1,15.19272,0
1992,1,20.77828,0
1992,1,10.61256,0
1992,0,27.55968,1
1992,0,10.92287,1
1992,1,19.54946,0
1992,0,12.98967,1
1992,0,20.66657,1
1992,1,17.37729,0
1992,1,19.33463,0
1992,1,18.9909,0
1992,1,18.43234,0
1992,1,17.87379,0
1992,1,14.60838,0
1992,0,27.92779,1
1992,1,11.72967,0
1992,1,25.13501,0
1992,1,22.98058,0
1992,1,16.75668,0
1992,1,15.95874,0
1992,1,14.29903,0
1992,1,16.19812,0
1992,0,11.72967,1
1992,1,14.52245,0
1992,0,22.34224,1
1992,1,11.64327,0
1992,0,22.34224,1
1992,1,11.17112,0
1992,0,12.28823,1
1992,1,15.73266,0
1992,1,10.054,0
1992,1,25.7795,0
1992,0,23.33522,1
1992,1,16.8808,0
1992,0,15.49061,1
1992,1,18.43234,0
1992,0,5.585559,1
1992,1,9.874709,0
1992,0,4.840817,1
1992,0,30.72057,1
1992,1,20.72172,0
1992,0,18.43234,1
1992,1,14.69884,0
1992,1,32.23665,0
1992,1,26.40446,0
1992,1,19.46966,0
1992,1,15.95874,0
1992,0,25.13501,1
1992,0,26.72131,1
1992,0,33.51335,1
1992,1,18.2536,0
1992,1,8.378338,0
1992,0,17.50142,1
1992,1,11.72967,0
1992,0,17.87379,1
1992,0,33.51335,1
1992,0,6.70267,1
1992,1,23.51814,0
1992,0,19.85976,1
1992,1,21.06553,0
1992,0,21.22512,1
1992,0,26.81068,1
1992,0,12.84678,1
1992,1,11.84138,0
1992,1,16.75668,0
1992,0,25.13501,1
1992,0,17.87379,1
1992,0,23.68277,1
1992,1,19.96837,0
1992,1,22.71461,0
1992,0,25.22757,1
1992,1,13.9639,0
1992,0,19.54946,1
1992,0,25.13501,1
1992,0,23.45935,1
1992,1,30.72057,0
1992,1,19.78884,0
1992,1,25.0233,0
1992,0,12.90885,1
1992,0,21.22512,1
1992,1,22.34224,0
1992,1,18.43234,0
1992,0,47.47725,1
1992,0,26.81068,1
1992,0,28.48635,1
1992,0,22.34224,1
1992,1,22.34224,0
1992,0,23.83172,1
1992,0,13.55429,1
1992,0,26.81068,1
1992,1,29.78964,0
1992,1,14.21778,0
1992,0,26.81068,1
1992,0,27.92779,1
1992,1,14.52245,0
1992,0,21.22512,1
1992,0,10.61256,1
1992,1,5.362136,0
1992,0,4.062224,1
1992,1,19.96837,0
1992,0,18.9909,1
1992,1,8.936893,0
1992,0,27.88311,1
1992,0,12.41235,1
1992,0,13.40534,1
1992,1,8.657616,0
1992,0,12.10204,1
1992,1,26.25212,0
1992,0,13.40534,1
1992,0,18.43234,1
1992,1,7.07802,0
1992,0,13.40534,1
1992,0,19.54946,1
1992,0,12.52917,1
1992,1,20.10801,0
1992,0,13.40534,1
1992,1,13.40534,0
1992,0,10.054,1
1992,0,25.13501,1
1992,1,16.75668,0
1992,0,16.17578,1
1992,1,20.66657,0
1992,0,27.49813,1
1992,1,22.34224,0
1992,1,21.22512,0
1992,0,15.88781,1
1992,1,6.970777,0
1992,0,24.37335,1
1992,0,14.39833,1
1992,1,18.9909,0
1992,1,11.06472,0
1992,0,18.18554,1
1992,0,18.28001,1
1992,0,16.5829,1
1992,1,6.156527,0
1992,0,5.30628,1
1992,1,14.29903,0
1992,0,15.49061,1
1992,1,5.362136,0
1992,1,10.20721,0
1992,1,37.9818,0
1992,1,17.87379,0
1992,1,15.73266,0
1992,0,25.63264,1
1992,0,22.90079,1
1992,0,20.10801,1
1992,1,11.17112,0
1992,0,18.9909,1
1992,0,19.54946,1
1992,1,26.25212,0
1992,0,5.776451,1
1992,0,27.88311,1
1992,1,14.52245,0
1992,1,12.28823,0
1992,1,18.37028,0
1992,1,7.021845,0
1992,0,13.9639,1
1992,1,6.70267,0
1992,0,25.10932,1
1992,1,30.16202,0
1992,0,33.06651,1
1992,0,20.10801,1
1992,0,23.45935,1
1992,1,13.03055,0
1992,0,17.87379,1
1992,1,20.33143,0
1992,0,27.34689,1
1992,1,13.84523,0
1992,0,13.68462,1
1992,1,22.34224,0
1992,0,8.378338,1
1992,1,22.34224,0
1992,0,16.19812,1
1992,1,22.34224,0
1992,0,10.72427,1
1992,0,8.896678,1
1992,1,23.35779,0
1992,0,22.34224,1
1992,0,23.27316,1
1992,0,44.68447,1
1992,0,17.87379,1
1992,0,16.26515,1
1992,0,25.13501,1
1992,0,18.43234,1
1992,0,18.61853,1
1992,0,29.0449,1
1992,0,44.68447,1
1992,0,21.22512,1
1992,0,9.875267,1
1992,1,21.22512,0
1992,0,10.37318,1
1992,1,15.08101,0
1992,0,30.78263,1
1992,0,10.42638,1
1992,0,34.63046,1
1992,1,11.17112,0
1992,1,11.84138,0
1992,1,21.27832,0
1992,1,16.75668,0
1992,1,20.42719,0
1992,1,30.46668,0
1992,0,21.22512,1
1992,1,7.943905,0
1992,1,15.28679,0
1992,0,16.75668,1
1992,1,20.42719,0
1992,0,27.92779,1
1992,0,22.34224,1
1992,1,30.64078,0
1992,0,23.23592,1
1992,0,15.19272,1
1992,0,5.808981,1
1992,1,24.25728,0
1992,0,27.92978,1
1992,1,14.79559,0
1992,0,30.78263,1
1992,1,18.86678,0
1992,0,25.3212,1
1992,0,25.91699,1
1992,1,18.2536,0
1992,1,11.17112,0
1992,1,6.383495,0
1992,1,13.9639,0
1992,1,14.32193,0
1992,1,15.95874,0
1992,1,19.9165,0
1992,1,20.57347,0
1992,0,16.75668,1
1992,0,29.78964,1
1992,1,27.92779,0
1992,0,18.10491,1
1992,0,24.12961,1
1992,1,20.66657,0
1992,1,8.936893,0
1992,0,10.89865,1
1992,1,21.22512,0
1992,0,24.0179,1
1992,1,26.27872,0
1992,0,26.40446,1
1992,1,17.37729,0
1992,1,28.39946,0
1992,1,12.3627,0
1992,0,18.61853,1
1992,0,30.72057,1
1992,1,23.45935,0
1992,1,19.99042,0
1992,0,22.34224,1
1992,0,19.01688,1
1992,1,20.66657,0
1992,0,26.81068,1
1992,0,19.54946,1
1992,0,20.85275,1
1992,0,20.19436,1
1992,0,21.34925,1
1992,0,12.84678,1
1992,1,50.27002,0
1992,1,17.31523,0
1992,0,12.10949,1
1992,0,10.72427,1
1992,1,6.144114,0
1992,0,9.495449,1
1992,1,24.12961,0
1992,0,6.093337,1
1992,0,17.42694,1
1992,0,13.94155,1
1992,1,20.74636,0
1992,0,13.40534,1
1992,1,11.32006,0
1992,0,10.61256,1
1992,0,16.75668,1
1992,1,12.84678,0
1992,1,15.63956,0
1992,1,12.2307,0
1992,0,29.39768,1
1992,0,21.78368,1
1992,1,22.34224,0
1992,0,29.0449,1
1992,1,14.52245,0
1992,0,12.28823,1
1992,1,17.31523,0
1992,1,22.34224,0
1992,0,22.34224,1
1992,0,21.22512,1
1992,1,17.23544,0
1992,0,20.38729,1
1992,0,30.16202,1
1992,1,11.17112,0
1992,0,20.10801,1
1992,0,25.91699,1
1992,1,12.28823,0
1992,0,20.10801,1
1992,1,25.0233,0
1992,0,17.87379,1
1992,0,21.31449,1
1992,1,17.87379,0
1992,0,22.94608,1
1992,0,16.37407,1
1992,1,13.9639,0
1992,0,5.808981,1
1992,0,10.25114,1
1992,1,23.61893,0
1992,0,30.83228,1
1992,0,20.71734,1
1992,0,16.10719,1
1992,0,6.3303,1
1992,1,14.68204,0
1992,0,44.68447,1
1992,1,21.22512,0
1992,0,27.36924,1
1992,0,15.95874,1
1992,0,22.34224,1
1992,1,10.82872,0
1992,0,11.17112,1
1992,1,11.15324,0
1992,0,18.43234,1
1992,0,22.34224,1
1992,1,9.433388,0
1992,0,13.9639,1
1992,0,21.22512,1
1992,0,24.0179,1
1992,0,16.2489,1
1992,0,16.62678,1
1992,1,11.1054,0
1992,1,18.15306,0
1992,1,8.936893,0
1992,1,19.54946,0
1992,0,7.819782,1
1992,0,22.34224,1
1992,0,15.63956,1
1992,0,10.30536,1
1992,1,19.54946,0
1992,0,11.17112,1
1992,0,26.06594,1
1992,1,22.94608,0
1992,1,15.08101,0
1992,0,13.87095,1
1992,0,12.9585,1
1992,0,21.34925,1
1992,0,12.28823,1
1992,1,29.33535,0
1992,1,13.40534,0
1992,0,12.28823,1
1992,1,26.31419,0
1992,0,16.75668,1
1992,0,44.68447,1
1992,1,34.63046,0
1992,1,18.43234,0
1992,0,20.66657,1
1992,1,25.81769,0
1992,0,7.075041,1
1992,0,14.03551,1
1992,0,20.10801,1
1992,0,25.99824,1
1992,0,15.63956,1
1992,1,11.17112,0
1992,0,11.61796,1
1992,1,8.403659,0
1992,0,27.92779,1
1992,0,22.34224,1
1992,1,18.76748,0
1992,0,17.87379,1
1992,1,11.61517,0
1992,0,19.9049,1
1992,1,11.72967,0
1992,1,13.9639,0
1992,1,26.56243,0
1992,0,24.32821,1
1992,1,26.81068,0
1992,0,15.18126,1
1992,1,22.34224,0
1992,1,15.63956,0
1992,1,20.33143,0
1992,1,11.17112,0
1992,1,22.90079,0
1992,1,11.61796,0
1992,0,20.38729,1
1992,1,25.13501,0
1992,0,13.9639,1
1992,0,17.37729,1
1992,0,23.45935,1
1992,0,9.681634,1
1992,1,12.84678,0
1992,1,19.54946,0
1992,0,29.0449,1
1992,0,30.25511,1
1992,1,10.42638,0
1992,1,10.054,0
1992,0,9.48405,1
1992,0,14.62401,1
1992,1,16.3843,0
1992,0,21.6675,1
1992,1,15.63956,0
1992,1,22.34224,0
1992,1,11.72967,0
1992,0,6.770374,1
1992,0,18.87919,1
1992,0,5.576622,1
1992,0,20.26351,1
1992,0,21.16633,1
1992,1,30.57358,0
1992,0,20.10801,1
1992,1,26.81068,0
1992,0,22.68233,1
1992,1,12.56751,0
1992,0,16.19812,1
1992,0,22.90079,1
1992,0,15.88781,1
1992,1,4.072803,0
1992,0,24.78498,1
1992,1,12.79931,0
1992,0,22.34224,1
1992,0,25.18579,1
1992,0,30.44129,1
1992,1,18.15306,0
1992,0,27.92779,1
1992,1,10.054,0
1992,1,16.08641,0
1992,0,26.07618,1
1992,1,9.495449,0
1992,0,20.33143,1
1992,1,18.27719,0
1992,1,14.74587,0
1992,0,5.106797,1
1992,0,20.88999,1
1992,1,5.662601,0
1992,1,15.63956,0
1992,0,10.42638,1
1992,0,15.5474,1
1992,0,10.37983,1
1992,0,13.9639,1
1992,0,13.42118,1
1992,0,23.27316,1
1992,0,18.58874,1
1992,1,5.930848,0
1992,0,11.49029,1
1992,0,11.81569,1
1992,1,13.40534,0
1992,0,10.89184,1
1992,0,8.75574,1
1992,0,10.42638,1
1992,1,13.34949,0
1992,1,5.585559,0
1992,0,15.63956,1
1992,0,10.96801,1
1992,0,12.28823,1
1992,0,17.37729,1
1992,1,12.90885,0
1992,0,23.93811,1
1992,1,15.41614,0
1992,0,14.52245,1
1992,0,20.94584,1
1992,0,6.981948,1
1992,0,11.37423,1
1992,1,10.054,0
1992,1,8.936893,0
1992,0,21.78368,1
1992,1,21.22512,0
1992,1,16.19812,0
1992,0,11.84138,1
1992,0,16.75668,1
1992,1,13.40534,0
1992,1,6.255826,0
1992,0,19.54946,1
1992,0,5.605869,1
1992,1,23.82799,0
1992,1,13.36066,0
1992,0,9.272027,1
1992,0,18.15306,1
1992,1,15.41614,0
1992,0,15.63956,1
1992,0,17.87379,1
1992,1,19.49868,0
1992,0,12.28823,1
1992,0,20.66657,1
1992,1,15.08101,0
1992,1,11.91586,0
1992,1,10.054,0
1992,1,17.87379,0
1992,0,16.75668,1
1992,1,13.9639,0
1992,1,13.9639,0
1992,0,6.834095,1
1992,1,12.1641,0
1992,0,10.054,1
1992,0,7.447411,1
1992,0,12.90885,1
1992,1,16.19812,0
1992,1,8.092854,0
1992,1,16.75668,0
1992,0,20.10801,1
1992,0,10.054,1
1992,0,19.54946,1
1992,1,30.72057,0
1992,1,12.41235,0
1992,0,22.34224,1
1992,1,8.504509,0
1992,0,9.749338,1
1992,1,10.92287,0
1992,0,12.18893,1
1992,1,8.329185,0
1992,0,19.85976,1
1992,0,13.40534,1
1992,1,11.78045,0
1992,1,16.75668,0
1992,0,13.9639,1
1992,0,13.40534,1
1992,1,16.30983,0
1992,0,22.90638,1
1992,0,14.29903,1
1992,1,10.3668,0
1992,0,11.41936,1
1992,0,14.89482,1
1992,0,25.13501,1
1992,1,17.42694,0
1992,0,28.05192,1
1992,0,14.52245,1
1992,1,13.63332,0
1992,1,6.70267,0
1992,1,16.75668,0
1992,0,17.87379,1
1992,1,9.830583,0
1992,0,16.19812,1
1992,1,10.85194,0
1992,0,19.27018,1
1992,1,7.847709,0
1992,1,12.9585,0
1992,1,14.07561,0
1992,0,15.88781,1
1992,1,14.52245,0
1992,1,14.52245,0
1992,1,13.9639,0
1992,1,15.63956,0
1992,1,11.61796,0
1992,1,7.819782,0
1992,0,16.9801,1
1992,1,11.17112,0
1992,0,14.07561,1
1992,1,19.54946,0
1992,0,9.929882,1
1992,1,22.34224,0
1992,0,12.06481,1
1992,1,10.99238,0
1992,1,11.17112,0
1992,1,17.20304,0
1992,0,18.18554,1
1992,0,15.14913,1
1992,0,21.34925,1
1992,1,21.62058,0
1992,1,11.17112,0
1992,1,16.8808,0
1992,0,13.40534,1
1992,1,2.792779,0
1992,1,17.09348,0
1992,0,6.860016,1
1992,1,12.47814,0
1992,1,11.72967,0
1992,0,10.92287,1
1992,0,12.84678,1
1992,1,14.68204,0
1992,0,17.37729,1
1992,0,4.468447,1
1992,1,14.94447,0
1992,1,15.08101,0
1992,1,12.84678,0
1992,1,10.97252,0
1992,1,18.61853,0
1992,1,13.62331,0
1992,0,32.44944,1
1992,1,11.91586,0
1992,1,13.38021,0
1992,1,12.1641,0
1992,0,11.72967,1
1992,1,10.054,0
1992,0,17.59451,1
1992,0,8.378338,1
1992,0,21.22512,1
1992,0,25.13501,1
1992,0,18.43234,1
1992,0,12.18667,1
1992,0,5.585559,1
1992,1,16.75668,0
1992,1,13.40534,0
1992,0,17.37729,1
1992,1,12.10204,0
1992,0,15.63956,1
1992,0,14.52245,1
1992,1,12.88975,0
1992,1,16.19812,0
1992,0,20.55486,1
1992,0,17.63861,1
1992,1,11.42247,0
1992,1,13.9639,0
1992,1,16.75668,0
1992,0,19.07262,1
1992,0,18.61853,1
1992,0,20.66657,1
1992,1,20.10801,0
1992,0,20.94584,1
1992,1,15.63956,0
1992,0,24.20409,1
1992,0,12.90885,1
1992,0,6.093337,1
1992,1,4.005089,0
1992,0,22.04434,1
1992,0,20.10801,1
1992,0,16.03055,1
1992,0,26.72131,1
1992,1,39.65747,0
1992,1,16.75668,0
1992,0,13.40534,1
1992,1,18.61853,0
1992,1,21.67729,0
1992,1,9.929882,0
1992,1,11.61796,0
1992,0,21.87467,1
1992,0,16.53325,1
1992,0,12.10204,1
1992,0,13.40534,1
1992,0,16.75668,1
1992,0,25.91699,1
1992,1,17.87379,0
1992,0,15.57863,1
1992,1,14.89482,0
1992,0,16.48857,1
1992,0,12.09906,1
1992,1,8.301396,0
1992,1,20.10801,0
1992,1,16.3843,0
1992,1,13.40534,0
1992,0,15.63956,1
1992,1,18.9909,0
1992,0,34.51652,1
1992,1,23.45935,0
1992,1,12.90885,0
1992,0,23.38141,1
1992,0,22.34224,1
1992,1,8.378338,0
1992,1,25.3212,0
1992,0,22.34224,1
1992,0,13.9639,1
1992,1,16.19812,0
1992,1,12.84678,0
1992,1,12.84678,0
1992,1,18.9909,0
1992,1,16.4774,0
1992,1,12.41235,0
1992,1,13.17229,0
1992,0,11.9531,1
1992,0,16.9801,1
1992,1,15.63956,0
1992,0,16.23188,1
1992,0,25.81769,1
1992,0,15.88781,1
1992,1,19.46966,0
1992,1,16.75668,0
1992,1,12.84678,0
1992,0,13.9639,1
1992,0,16.98121,1
1992,0,14.52245,1
1992,1,12.06481,0
1992,1,10.89184,0
1992,1,14.63416,0
1992,0,17.08883,1
1992,0,23.45935,1
1992,1,14.52245,0
1992,1,26.81068,0
1992,1,12.44782,0
1992,1,14.89482,0
1992,0,14.89482,1
1992,0,23.33522,1
1992,1,19.21432,0
1992,1,17.10777,0
1992,1,7.50699,0
1992,0,7.312004,1
1992,1,20.33143,0
1992,0,20.94584,1
1992,0,19.54946,1
1992,1,23.83172,0
1992,1,22.06296,0
1992,1,15.63956,0
1992,1,5.585559,0
1992,1,9.433388,0
1992,1,7.261226,0
1992,0,21.20278,1
1992,1,27.92779,0
1992,0,14.02884,1
1992,1,11.9505,0
1992,0,19.92183,1
1992,1,9.838896,0
1992,0,18.9909,1
1992,1,16.19812,0
1992,0,38.30097,1
1992,1,32.29469,0
1992,0,25.13501,1
1992,1,21.06553,0
1992,0,17.87379,1
1992,1,26.25212,0
1992,1,17.87379,0
1992,1,11.22697,0
1992,1,6.70267,0
1992,0,36.86469,1
1992,1,15.63956,0
1992,0,19.54946,1
1992,0,13.9639,1
1992,1,9.838896,0
1992,0,22.34224,1
1992,0,19.54946,1
1992,0,19.07262,1
1992,1,11.17112,0
1992,0,13.59962,1
1992,1,23.45935,0
1992,1,3.699874,0
1992,0,18.37028,1
1992,1,13.52293,0
1992,1,7.819782,0
1992,0,29.0449,1
1992,0,11.72967,1
1992,1,15.69542,0
1992,0,25.3212,1
1992,1,20.94584,0
1992,0,39.89764,1
1992,1,22.03223,0
1992,0,10.72427,1
1992,1,17.98018,0
1992,0,20.10801,1
1992,0,15.63956,1
1992,1,17.77223,0
1992,1,29.60346,0
1992,1,12.18667,0
1992,0,13.40534,1
1992,0,13.74907,1
1992,1,8.378338,0
1992,0,25.24728,1
1992,0,19.15049,1
1992,0,10.42638,1
1992,0,18.43234,1
1992,0,11.66761,1
1992,0,24.57646,1
1992,1,14.85759,0
1992,0,11.85506,1
1992,0,12.15417,1
1992,0,7.447411,1
1992,0,13.85218,1
1992,0,13.90183,1
1992,0,8.378338,1
1992,1,16.892,0
1992,0,12.06481,1
1992,0,26.81068,1
1992,1,19.85976,0
1992,0,8.657616,1
1992,0,21.84574,1
1992,0,27.30717,1
1992,0,10.42638,1
1992,0,13.9639,1
1992,1,16.19812,0
1992,0,14.87099,1
1992,1,13.40534,0
1992,1,15.63956,0
1992,0,22.34224,1
1992,0,19.13333,1
1992,1,10.61256,0
1992,0,28.79666,1
1992,0,20.85275,1
1992,1,13.17229,0
1992,0,16.08641,1
1992,1,9.343116,0
1992,1,11.17112,0
1992,0,10.92287,1
1992,0,8.936893,1
1992,1,8.688646,0
1992,0,16.3843,1
1992,1,18.86678,0
1992,0,25.69357,1
1992,1,15.63956,0
1992,1,11.59016,0
1992,0,15.5876,1
1992,0,27.30717,1
1992,1,13.03297,0
1992,0,16.75668,1
1992,0,18.34415,1
1992,1,17.87379,0
1992,1,13.40534,0
1992,0,18.9909,1
1992,1,14.9693,0
1992,1,12.15417,0
